headline,link
,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices#main"", ""www.huffpost.com"")"
Crime,"=HYPERLINK(""https://www.huffpost.com/news/crime"", ""www.huffpost.com"")"
No Title Found,"=HYPERLINK(""https://thegrio.com/"", ""thegrio.com"")"
,"=HYPERLINK(""https://thegrio.com/category/news/"", ""thegrio.com"")"
All Entertainment,"=HYPERLINK(""https://thegrio.com/category/black-entertainment/"", ""thegrio.com"")"
Film,"=HYPERLINK(""https://thegrio.com/category/black-entertainment/film/"", ""thegrio.com"")"
Television,"=HYPERLINK(""https://thegrio.com/category/black-entertainment/television/"", ""thegrio.com"")"
Music,"=HYPERLINK(""https://thegrio.com/category/black-entertainment/music/"", ""thegrio.com"")"
Comedy,"=HYPERLINK(""https://thegrio.com/category/black-entertainment/comedy/"", ""thegrio.com"")"
Sports,"=HYPERLINK(""https://thegrio.com/category/black-entertainment/sports/"", ""thegrio.com"")"
Entertainment Videos,"=HYPERLINK(""https://thegrio.com/videos/entertainment/"", ""thegrio.com"")"
,"=HYPERLINK(""https://atlantablackstar.com/#main"", ""atlantablackstar.com"")"
,"=HYPERLINK(""https://atlantablackstar.com/#"", ""atlantablackstar.com"")"
,"=HYPERLINK(""https://atlantablackstar.com/category/entertainment/"", ""atlantablackstar.com"")"
,"=HYPERLINK(""https://atlantablackstar.com/category/politics/news/"", ""atlantablackstar.com"")"
Lifestyle,"=HYPERLINK(""https://atlantablackstar.com/category/lifestyle/"", ""atlantablackstar.com"")"
Videos,"=HYPERLINK(""https://atlantablackstar.com//videos/"", ""atlantablackstar.com"")"
Politics,"=HYPERLINK(""https://atlantablackstar.com/category/politics/"", ""atlantablackstar.com"")"
Sports,"=HYPERLINK(""https://atlantablackstar.com/category/sports/"", ""atlantablackstar.com"")"
Celebrity News,"=HYPERLINK(""https://atlantablackstar.com/category/entertainment/celebrity-news/"", ""atlantablackstar.com"")"
World,"=HYPERLINK(""https://atlantablackstar.com/category/world/"", ""atlantablackstar.com"")"
Kotaku,"=HYPERLINK(""https://www.theroot.com///kotaku.com"", ""www.theroot.com"")"
Quartz,"=HYPERLINK(""https://www.theroot.com///qz.com"", ""www.theroot.com"")"
The Root,"=HYPERLINK(""https://www.theroot.com///theroot.com"", ""www.theroot.com"")"
The Inventory,"=HYPERLINK(""https://www.theroot.com///theinventory.com"", ""www.theroot.com"")"
No Title Found,"=HYPERLINK(""https://www.theroot.com//"", ""www.theroot.com"")"
Home,"=HYPERLINK(""https://www.theroot.com///www.theroot.com/"", ""www.theroot.com"")"
Latest,"=HYPERLINK(""https://www.theroot.com///www.theroot.com/latest"", ""www.theroot.com"")"
,"=HYPERLINK(""https://www.theroot.com/entertainment"", ""www.theroot.com"")"
The Culture,"=HYPERLINK(""https://www.theroot.com/culture"", ""www.theroot.com"")"
,"=HYPERLINK(""https://andscape.com/#main"", ""andscape.com"")"
Andscape,"=HYPERLINK(""https://andscape.com/"", ""andscape.com"")"
Navigation,"=HYPERLINK(""https://andscape.com/#navigation"", ""andscape.com"")"
Sports,"=HYPERLINK(""https://andscape.com//sports/"", ""andscape.com"")"
Culture,"=HYPERLINK(""https://andscape.com//culture/"", ""andscape.com"")"
HBCU,"=HYPERLINK(""https://andscape.com//hbcu/"", ""andscape.com"")"
Video,"=HYPERLINK(""https://andscape.com//videos/"", ""andscape.com"")"
ESPN,"=HYPERLINK(""http://www.espn.com/"", ""andscape.com"")"
Menu,"=HYPERLINK(""https://andscape.com/#secondary-navigation"", ""andscape.com"")"
No Title Found,"=HYPERLINK(""https://www.blackenterprise.com/"", ""www.blackenterprise.com"")"
No Title Found,"=HYPERLINK(""https://www.blackenterprise.com/#"", ""www.blackenterprise.com"")"
BUSINESS,"=HYPERLINK(""https://www.blackenterprise.com//business-channel/"", ""www.blackenterprise.com"")"
Entrepreneurship,"=HYPERLINK(""https://www.blackenterprise.com//entrepreneurship"", ""www.blackenterprise.com"")"
Leadership,"=HYPERLINK(""https://www.blackenterprise.com//leadership/"", ""www.blackenterprise.com"")"
"DIVERSITY, EQUALITY, INCLUSION","=HYPERLINK(""https://www.blackenterprise.com//diversity-equality-inclusion/"", ""www.blackenterprise.com"")"
TECHNOLOGY,"=HYPERLINK(""https://www.blackenterprise.com//technology/"", ""www.blackenterprise.com"")"
MONEY,"=HYPERLINK(""https://www.blackenterprise.com//money/"", ""www.blackenterprise.com"")"
,"=HYPERLINK(""https://www.blackenterprise.com//news-channel/"", ""www.blackenterprise.com"")"
